Cities,Latitude,Longitude,Temperature,Humidity (%),Cloudiness,Wind Speed
butaritari,3.07,172.79,80.2,100.0,76.0,11.83
gao,16.28,-0.04,75.65,34.0,12.0,8.25
moose factory,51.26,-80.61,12.2,39.0,1.0,11.41
nara,34.68,135.8,42.39,80.0,20.0,1.12
leningradskiy,69.38,178.42,-2.47,83.0,80.0,28.16
saint-philippe,45.36,-73.48,25.63,38.0,75.0,11.41
punta arenas,-53.16,-70.91,48.11,76.0,90.0,33.33
aswan,24.09,32.9,59.0,28.0,0.0,6.93
carutapera,-1.2,-46.02,76.51,98.0,36.0,3.89
rikitea,-23.12,-134.97,78.76,100.0,68.0,21.34
arraial do cabo,-22.97,-42.02,77.0,93.0,75.0,3.36
dingle,11.0,122.67,78.62,72.0,64.0,15.08
hobart,-42.88,147.33,64.89,72.0,75.0,5.82
ponta do sol,-20.63,-46.0,71.51,91.0,12.0,2.66
marawi,8.0,124.29,77.0,86.0,76.0,5.01
khandyga,62.65,135.58,-3.15,48.0,0.0,3.11
albany,42.65,-73.75,27.3,42.0,1.0,13.87
ahtopol,42.1,27.94,45.41,81.0,0.0,2.24
ushuaia,-54.81,-68.31,46.4,93.0,90.0,13.87
avarua,-21.21,-159.78,82.4,78.0,88.0,21.92
georgetown,6.8,-58.16,78.8,83.0,20.0,4.7
kruisfontein,-34.0,24.73,68.23,86.0,88.0,14.74
tuktoyaktuk,69.44,-133.03,28.4,79.0,40.0,8.05
ust-omchug,61.13,149.63,-11.83,68.0,12.0,3.56
pacific grove,36.62,-121.92,70.83,31.0,1.0,4.23
luganville,-15.51,167.18,82.4,100.0,80.0,12.06
bosaso,11.28,49.18,75.7,100.0,0.0,5.46
atuona,-9.8,-139.03,82.99,100.0,56.0,14.41
kodiak,39.95,-94.76,46.44,28.0,75.0,4.7
cabo san lucas,22.89,-109.91,69.51,68.0,90.0,2.24
kenai,60.55,-151.26,41.83,74.0,1.0,19.46
alexandria,31.31,-92.44,62.69,36.0,1.0,6.69
faanui,-16.48,-151.75,84.47,100.0,20.0,8.48
makakilo city,21.35,-158.09,75.74,39.0,20.0,10.29
oranjemund,-28.55,16.43,64.0,97.0,68.0,10.83
sao joao da barra,-21.64,-41.05,77.0,94.0,90.0,4.7
mataura,-46.19,168.86,70.7,67.0,0.0,5.46
urucara,-2.54,-57.76,80.33,85.0,0.0,3.44
vaini,15.34,74.49,64.13,78.0,0.0,2.33
puerto ayora,-0.74,-90.35,78.89,78.0,40.0,8.05
amapa,15.09,-87.97,82.58,58.0,20.0,16.11
chokurdakh,70.62,147.9,-15.7,70.0,36.0,3.44
sheregesh,52.93,87.98,13.82,91.0,44.0,2.44
la ronge,55.1,-105.3,46.4,26.0,90.0,13.87
bluff,-23.58,149.07,78.94,90.0,8.0,4.79
lokosovo,61.13,74.84,4.06,81.0,32.0,4.0
laguna,27.52,-110.01,78.8,27.0,75.0,10.29
at-bashi,41.17,75.81,11.8,84.0,0.0,2.44
mount gambier,-37.83,140.78,62.6,93.0,90.0,4.7
husavik,50.56,-96.99,36.46,70.0,24.0,4.68
santa maria,-29.69,-53.81,71.6,100.0,75.0,3.36
pekan,3.49,103.39,73.4,94.0,75.0,5.57
guerrero negro,27.97,-114.04,68.14,42.0,0.0,11.39
sao filipe,14.9,-24.5,71.51,94.0,8.0,13.18
ribeira grande,38.52,-28.7,61.84,95.0,12.0,9.26
karasjok,69.47,25.52,23.0,67.0,0.0,19.46
hilo,19.71,-155.08,72.18,50.0,20.0,18.34
huangmei,30.1,115.95,54.32,100.0,68.0,4.68
hami,42.84,93.51,32.36,58.0,0.0,7.25
chuy,-33.69,-53.46,68.5,95.0,88.0,12.28
busselton,-33.64,115.35,68.9,54.0,36.0,15.08
port elizabeth,39.31,-74.98,41.4,33.0,1.0,5.82
bredasdorp,-34.53,20.04,67.1,88.0,56.0,5.82
evensk,61.92,159.24,4.1,100.0,0.0,7.7
saskylakh,71.97,114.09,-23.62,35.0,12.0,3.22
hermanus,-34.42,19.24,63.32,94.0,76.0,3.0
kavaratti,10.57,72.64,81.91,100.0,0.0,5.46
lavrentiya,65.58,-170.99,3.83,100.0,36.0,24.47
severo-kurilsk,50.68,156.12,28.81,100.0,64.0,6.02
pangnirtung,66.15,-65.72,-14.13,83.0,24.0,11.5
jamestown,-33.21,138.6,70.61,90.0,0.0,4.0
vaitape,-16.52,-151.75,83.57,100.0,56.0,7.58
tiksi,71.64,128.87,-22.18,64.0,24.0,3.11
valentin gomez farias,24.05,-104.7,66.7,22.0,90.0,12.75
dwarka,28.58,77.04,59.0,87.0,0.0,4.56
esperance,10.24,-61.45,79.18,74.0,20.0,11.41
dolgoye,52.06,37.53,31.73,92.0,88.0,3.0
alihe,50.57,123.73,29.93,53.0,0.0,5.79
khatanga,71.98,102.47,-1.3,69.0,76.0,8.48
svetlogorsk,53.14,59.15,15.8,85.0,20.0,6.71
vila franca do campo,37.72,-25.43,56.89,87.0,75.0,5.82
romanovo,56.49,40.39,25.75,88.0,12.0,7.47
ketchikan,55.34,-131.65,50.72,93.0,90.0,17.22
port blair,11.67,92.75,82.9,99.0,0.0,9.04
torbay,47.66,-52.73,26.69,63.0,90.0,24.16
pevek,69.7,170.27,-8.5,96.0,80.0,13.96
balkhash,46.84,74.98,23.95,97.0,92.0,17.43
ixtapa,20.71,-105.21,76.08,78.0,75.0,12.75
goianesia,-15.32,-49.12,74.35,89.0,0.0,4.68
kushima,31.5,131.29,46.27,66.0,75.0,9.17
